200 581
0 19 0.172583
0 22 0.199578
0 71 0.0421864
0 85 0.114191
0 106 0.0796986
0 121 0.0559364
0 161 0.175001
0 167 0.120203
1 36 0.0624397
1 75 0.110512
1 80 0.0479898
1 169 0.0990607
2 41 0.189833
2 74 0.106469
2 132 0.0330461
2 153 0.0615717
2 192 0.0336422
3 48 0.0263665
3 62 0.147833
3 70 0.120103
3 100 0.0646395
3 108 0.0696174
3 170 0.0641557
4 25 0.0668423
4 40 0.0382728
4 56 0.0665559
4 150 0.0219465
4 158 0.0179913
5 12 0.115364
5 52 0.0609148
5 119 0.0424426
5 123 0.0669854
5 156 0.0667699
6 36 0.157916
6 102 0.0569998
6 104 0.157806
6 111 0.0554066
6 149 0.0502541
6 197 0.0963412
7 42 0.0392399
7 63 0.200363
7 73 0.120839
7 94 0.0368365
7 154 0.120702
8 20 0.0356731
8 34 0.00937107
8 73 0.105379
8 85 0.0596363
8 118 0.0199906
9 21 0.0332381
9 110 0.0637255
9 172 0.0562766
9 178 0.0221937
10 53 0.0919831
10 74 0.151802
10 132 0.0867246
10 140 0.0423047
10 153 0.0951178
10 192 0.100358
11 28 0.0835394
11 38 0.0492258
11 55 0.0529386
11 130 0.140196
11 144 0.0588136
12 90 0.0420201
12 119 0.110297
12 146 0.00888942
12 156 0.0966651
12 171 0.0133856
13 17 0.162157
13 23 0.0912263
13 93 0.118259
13 99 0.124739
13 125 0.149342
13 134 0.126024
13 136 0.117091
13 141 0.140854
13 184 0.13553
14 15 0.0429715
14 33 0.0314871
14 42 0.206328
14 63 0.0593355
14 117 0.0528877
14 187 0.043213
14 197 0.0787353
15 90 0.0406199
15 117 0.0203119
15 187 0.0324814
16 90 0.0528297
16 146 0.0673522
16 149 0.0511696
16 169 0.0750457
16 187 0.0552631
16 197 0.0574764
17 47 0.0437454
17 60 0.0517045
17 107 0.0491576
17 125 0.111781
17 141 0.12593
18 32 0.153541
18 78 0.0881999
18 180 0.043669
18 198 0.0484413
19 20 0.0446792
19 22 0.116344
19 65 0.0570206
19 85 0.0914499
19 101 0.0871323
19 186 0.0234742
19 196 0.0311463
20 34 0.0380193
20 118 0.0332138
20 147 0.100479
20 157 0.110668
20 181 0.0983753
20 186 0.0285379
20 196 0.0548902
21 66 0.109646
21 68 0.106348
21 124 0.0980572
21 172 0.082279
21 178 0.0490691
21 179 0.0380381
22 29 0.118673
22 82 0.0422717
22 101 0.0633764
22 161 0.138148
22 188 0.0967018
23 28 0.139043
23 39 0.127572
23 136 0.0363658
23 142 0.0867111
23 184 0.12364
23 185 0.149066
24 35 0.0979959
24 45 0.0162673
24 52 0.0975596
24 57 0.0735451
24 123 0.0402927
25 40 0.057309
25 56 0.0258709
25 75 0.075979
25 166 0.0819802
26 54 0.109611
26 89 0.130567
26 96 0.0605648
26 174 0.0633546
26 190 0.0965386
26 195 0.0661275
27 51 0.018865
27 106 0.0782583
27 167 0.036742
27 168 0.131508
27 178 0.0676451
28 55 0.0901643
28 130 0.166054
28 142 0.0898108
28 145 0.1632
28 185 0.0403873
29 43 0.0391298
29 161 0.0347349
29 179 0.0830728
29 188 0.0431251
30 82 0.0466042
30 109 0.130897
30 133 0.0762086
30 145 0.145171
30 185 0.0531523
30 188 0.111009
31 40 0.0915559
31 61 0.0542822
31 92 0.0483543
31 116 0.0711144
31 131 0.0986751
31 152 0.108699
32 69 0.161673
32 86 0.192989
32 122 0.16699
32 137 0.121461
32 155 0.123161
32 180 0.134413
32 198 0.200561
33 63 0.0344688
33 103 0.0395573
33 117 0.0534675
33 139 0.075601
33 156 0.073136
34 73 0.108167
34 87 0.102058
34 103 0.133636
34 157 0.104347
35 37 0.0912263
35 45 0.0944064
35 46 0.0624696
35 57 0.0877043
35 128 0.0716787
35 175 0.0865071
35 182 0.0508612
36 75 0.132129
36 104 0.0789857
36 149 0.147976
36 166 0.13432
36 169 0.130917
36 191 0.0689966
37 49 0.018865
37 128 0.0434374
37 148 0.102707
37 175 0.0666397
38 76 0.0998677
38 130 0.108162
38 144 0.08349
38 163 0.128494
39 126 0.122074
39 133 0.0909926
39 181 0.15773
39 184 0.0159278
39 185 0.128967
40 61 0.0521762
40 75 0.0829628
40 131 0.145892
40 158 0.0508541
41 66 0.0576228
41 74 0.273701
41 120 0.0681833
41 127 0.0807687
41 192 0.180773
42 54 0.213229
42 63 0.20423
42 84 0.187944
42 114 0.128453
42 154 0.134888
42 197 0.192597
43 109 0.023737
43 179 0.1023
43 188 0.0231326
44 54 0.0654313
44 97 0.120788
44 115 0.0721732
44 165 0.05311
45 123 0.0355368
45 128 0.105228
45 183 0.14425
46 57 0.0815302
46 59 0.0231404
46 182 0.0239976
47 60 0.0456287
47 141 0.0988742
47 159 0.0533824
47 199 0.0380463
48 58 0.0636346
48 100 0.0714226
48 108 0.0736754
49 112 0.116259
49 148 0.107389
49 160 0.274162
49 175 0.0618496
50 52 0.12275
50 57 0.158869
50 129 0.0998162
50 147 0.0204085
50 157 0.0396784
50 177 0.0399138
51 79 0.0432187
51 167 0.0362001
51 178 0.0764933
51 179 0.0709568
52 57 0.126412
52 123 0.0935004
52 139 0.0564409
52 156 0.0717837
52 177 0.106888
53 74 0.239736
53 140 0.0877815
53 143 0.166884
53 162 0.10588
53 168 0.177455
53 176 0.0723149
54 84 0.221575
54 89 0.0837294
54 97 0.153793
54 114 0.170787
54 122 0.16548
54 165 0.0745083
54 174 0.148745
55 142 0.0595258
55 144 0.044344
56 150 0.0795182
56 166 0.101461
57 59 0.0944064
57 126 0.13293
57 129 0.110851
58 100 0.109518
58 108 0.116817
58 113 0.0776547
58 143 0.146098
58 164 0.091363
58 193 0.0491458
59 67 0.137744
59 95 0.129893
59 99 0.121285
59 105 0.130245
59 126 0.141536
59 182 0.0404325
60 83 0.0676935
60 107 0.0677944
60 159 0.0570824
60 199 0.0224142
61 75 0.0548189
61 92 0.00691953
62 70 0.0564742
62 71 0.12997
62 72 0.0135604
62 77 0.0243933
62 170 0.156936
62 173 0.0664681
63 73 0.167056
63 103 0.00747809
64 89 0.292232
64 104 0.0549098
64 111 0.10055
64 115 0.170065
64 191 0.0833392
65 101 0.0425252
65 133 0.0895965
65 181 0.0769577
65 196 0.0327357
66 68 0.0654313
66 124 0.13011
66 127 0.0697692
66 192 0.167793
67 95 0.0429605
67 98 0.0900316
67 160 0.0735188
67 175 0.157542
67 182 0.148278
68 109 0.0946926
68 127 0.0446497
68 130 0.0779684
68 145 0.0777176
68 179 0.0953122
69 122 0.0257043
69 174 0.0199825
69 180 0.105237
69 195 0.0846567
70 77 0.0335731
70 100 0.0743343
70 154 0.0664161
70 194 0.0761891
71 81 0.123151
71 106 0.0613676
71 121 0.078733
71 170 0.116483
71 173 0.082535
72 73 0.106893
72 77 0.0300615
72 94 0.0743533
72 173 0.0677283
73 85 0.0750102
73 94 0.109407
73 103 0.165286
73 121 0.0911918
73 173 0.0940001
74 83 0.86522
74 120 0.34115
74 143 0.405848
74 144 0.575715
